text	sentiment
FF a username por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!	P
"Hasta ahora, los filósofos han tratado de comprender el mundo; de lo que se trata, sin embargo, es de cambiarlo"	NEU
Open Master Classusername &Pedro Alonso on "Global Health Challenges&Global Governance"usernameusername  url .	NEU
3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.	NEU
Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.	NEU
Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo.  url	N
No se ha aprobado la ley Sinde	NEU
se puede entender que la misma solidaridad que pide el PV en sanidad la tenga el PV en cuanto a fiscalidad. La Rioja pierde siempre.	N
¡¡Mucho ánimo hoy para "La Armada"!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!!  url	P
Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:"no sabe de lo que habla, no es cierto"	N
Desgraciadamente el paro en España sigue creciendo. Madrid va mejorando con 8.000 cotizantes más y 4.000 desempleados menos.	N
En el blog: Defender la solidaridad  url	NEU
FF de vuelta ;-)) username username username username username username username username	P
Qué graciosos los "laicos" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!	N
Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. PSNPSOE	NEU
El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria	P
El post de hoy en mi blog  url	NEU
Me encanta ver por aqui  a username ;-))	P
si están por Valencia España les recomiendo esta exposición !!  url	P
La gran noche de los abanderados 2.0 - La Opinión de Málaga  url	P
"username: username Amigaaaaa!!!!!" holaaaa guapaaaa!	P
El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él	N
firma de discos, martes, 6 de diciembre en el Cine Callao a las 18 horas  url	NEU
El desempleo en EE UU baja a los niveles de marzo de 2009  url	P
Seguimos (@ Unidad de Cuidados Paliativos Hospital Civil) [pic]:  url	NEU
Ya salio el sorteo de la eurocopa 2012: españa italia croacia e irlanda. A por ellos!!!!!	P
Granado reconoce que da los datos de paro "con objetividad" por estar en interinidad. ¿Y antes? username 20:30	N
Corazón partío: España e Irlanda se enfrentarán en la Eurocopa.	NEU
Transparencia Internacional España ocupa n. 31 en ranking 182 pdetrás Detrás de Chipre, Emiratos Arabes, Qatar...urge ley transparencia ya	N
RT username: Éstas Navidades regala solidaridad:positivegeneration (cont)  url	P
¿Crisis de identidad? RT username username ¡¡¡Tú eres española por encima de todo!!!	NEU
El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto. RT username: (cont)  url	P
Cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionarios...la que ahora aplica sin pudor	N
Así me gusta, Mónica "username: username. A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo."	P
Eso es amigos. RT username: username NavidadSanzeraSolidaria Todos a comprar (cont)  url	NEU
Hace cinco meses el PP me comunicó por escrito que su interlocutor preferente era IU. Ello le permitió gobernar. Ahora pide consensos.	N
Bienvenidos a la Brigada anti-Vara, pero esta región tiene un problema más. IU deja tirado a Monago 5 meses después de su nombramiento.	N
username la ley del embudo...característica de la derecha española. Animo	N
Eso no es cierto, nos llevamos de maravilla. RT username: username  ¬¬ POR QE!!! (cont)  url	P
España se pone a 1 punto de ganar su quinta Davis.Sevilla, d nuevo talismán.Mañana,22h username.es  url	P
Bueno: España a un punto de ganar la 5ª Copa Davis. Felicidades al equipo!!!	P
Durante la campańa, Cospedal decía lo que oía en casa, ahora ya hace lo que oye en casa.  url	N
username username username BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;)	P
Para nadaaaa... Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño,RT (cont)  url	P
Adiós al día en el q casi ha culminado el "destape" dl Estado de Bienestar? q nos va a quedar después d q se lo gastasen casi todo	N
Auan, apeich, agromenauer...Lucas Grijander y su progenitor...  url	P
"La risa ilumina las almas que están bañadas de tristeza, la sonrisa es la tibia caricia para la helada soledad"W.H. Patrick	P
Detener la carrera nuclear de Irán debería ser una prioridad estratégica máxima para Occidente.	N
A ver si lo entiendo: como Banco Central Europeo no puede prestar a los Gobiernos, prestará al FMI para q este, q si puede,lo haga. Europa!	N
Altos cargos recelan del exhaustivo traspaso de poderes. Aseguran que se ha convertido en fiscalización .  url	N
Buenos dias, que buenos eran/siguen siendo Talking Heads...	P
username jijijiji y el q se sibe a la mesa dl jurado es el verdadero Manolo Escobar!!;)))) haciendo d Lady Marmalade!!!;)) jojijii	P
malaga Plaza de la Merced   @ Plaza de la Merced  url	NEU
Los resultados preliminares en Egipto auguran un profundo cambio con consecuencias regionales.Falta voto rural q atenuará algo resultados.	NEU
Tranquilidad en las carreteras en el segundo día de Puente de la Constitución -  url	P
Gracias por la hospitalidad!!! ;-) RT username Bienvenido DON username a mi humilde morada ;)	P
En el Espolón, conmemorando el Día de la Discapacidad  url	NEU
Así es el belén del Ayuntamiento  url	P
Los vándalos le arrancan de nuevo el lápiz a Picasso  url	N
Esto es apoyar de verdad: La username  reducirá impuestos a 96 pueblos  url	P
Un poco d agua fria despues dl entrenamiento esta mañana. Ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil!	P
Que corra el Dewars!!!"username: username username username username gracias Jordi"	P
Detenida la jefa de una prestigiosa ONG rusa de control electoral  url	N
Porque no tenemos programa. Gracias username: username buenafuente por q ya no dais tanta risa???¿¿¿¿???"	N
Mi artículo en ESD: "La testarudez del consejero de Salud riojano pone a Sanz en la picota"   url	N
Noelia, Noelia, Noelia..."username:  Me parezco a username en el manejo del iPad. A ver si empiezo a parecerme en lectores!"	NEU
La vida no se mide por las veces que respiramos, sino por aquellos momentos que nos dejan sin aliento (vía username)	P
Sinceramente, estoy observando la zona de " recreo" psiquiátrica del H.Civil y es patético lo que veo  url	N
Con Fina, mi mujer, amigos y el reparto de "Iceberg", nueva película de Gabriel Velázquez.Por Gabri no pasan los años.  url	P
. username así esta la zona de "recreo" psiquiátrica en el Hospital Civil . Patético . Son personas  url	N
Me reservo dónde y cómo deposito mis ahorros con mi familia. Sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto.	NEU
Nada como unos rollitos de vez en cuando  url	P
Bien que lo siento si es así.La UEDila la bienvenida ayer.Esperemos que aun salga adelante.	NEU
RTusername:UPyD pacta con Cascos para tener grupo.A pesar d que en 2008 decían que no era lícito este tipo d pactos  url	N
Bueno, a ver qué hace el Madrid. Lo comentamos dentro de un rato con Edu en Radio Marca.	NEU
Señora  username mire usted el estado de la zona de " recreo" de psiquiatría del Hospital Civil de malaga  url	N
GRACIAS AMIGOS!!! YA SOMOS 200.000!!!;)	P
Ey username que si esta aquí la Consejera de Salud username	NEU
username Twitcam, Twitcam, Twitcam, Twitcam, Twitcam, Twitcam !!!	NEU
Ojala en España fuera igual RT username: En Brasil se necesitará diploma para ejercer el periodismo  url	N
Preciosa de verdad - Perdóname by Pablo Alborán, from SoundHound  url	P
Ataque de inyección SQL masivo  url	N
Descansando 2  url	P
Mira username nuestro árbol ;-))  url	P
Je,je!!! Eso es bueno username: username me has hecho llorar... De risa!"	P
RT username: Vamos Chilenos ! ultimo esfuerzo! al banco! queda poco y lo lograremos!!! La teleton te necesita!!!	P
Ya estamos. ¿Por qué no me duermo? Lo voy a intentar, no debe ser tan difícil.	NEU
RT username: A ver Pau ¿cuánto es 4x4? Un jeep todo terreno maestra MultiplicoComoPaulinaRubio ja ja ja muy bueno!	NEU
Por qué los medios de comunicación se han llenado de anuncios oficiales? No había q recortar el gasto publico? Quien lo denuncia?	N
Buenos dias y mil gracias RT username: Buen día username,mi concejala favorita.	P
. username  critica que username pida a username una reunión que niega a sus alcaldes   url	N
. username :  "Salir adelante no es tarea de un Gobierno solo"   url	N
Krugman: la austeridad está matando al euro  url via username	N
.username: "¿quién es el tapado del PSOE? La respuesta está en mi blog  url ha leído dos libros?" Era una metáfora.	NEU
.username .username "el tapado ha leido más de 2! es licenciado en historia contemporanea y master en integración europea.."Viva la ironía	N
;-)) RT username:  url username arte cultura pintura museo museums	P
Rajoy quiere que España vuelva a tener relevancia en Europa  url	P
Políticos q no responden. "En ningún país del mundo homologable al nuestro se tolera semejante práctica"  url via username	N
username username Obviamente, contar que son declaraciones q no ha permitido preguntas.	N
No podía faltar, dominguito en mi tierra y final de la Davis. Con el cuñao (username ).  url	P
Palmas por sevillanas para animar a Rafa!! sevillaciudadtalisman copadavis	P
Recién llegada a Madrid!!por fin en casitaaa pero que frío!!No me quiero ni imaginar como hará en la sierra y mas cuando sea de noche....	N
Retazos de una primera dama  url	NEU
'Chico & Rita', premio europeo a la mejor cinta de animación  url	P
Vamos equipo!! Vamos Nadal!! Toda España esta en tu mano!! Eres el mejor y contigo todos vamos a ser Campeones!! También ELORRIO	P
Otro passing escalofriante sobre la linea pone a Nadal 5 a 1 en el tercero.La ensaladera, mas cerca.VamosRafa CopaDavis ole username!!	P
Buen artículo de LD. Hay que arrimar el hombro. La Asociación de Ayuda a las Víctimas del 11-M, al borde del cierre  url	P
Dicen q esta el Rey en la Cartuja. Hoy es el DiA en q TVE tendría q sacarle todo el rato,hacer patria. Sera la imparcialidad...	P
Menudo break en blanco ha logrado DelPotro. Vamos a sufrir hasta el final. Los hinchas argentinos descentran a Rafa.	P
"username: username mi segundo apellido es camello! Tendré algo que ver con los reyes magos???"te doy mi carta y se la das??jajja bss!	P
"username: username Ojo, que yo me apellido "Molas", tal cual! y no es broma."en serio?? Como Mola!! Jajjaja	P
Viaje a las embajadas catalanas del derroche - ABC.es  url via username	N
Este set lo está ganando el público argentino. Del Potro había tirado la toalla, comenzaron a cantar y van ganado. Rafa puede! VamosRafa	P
"username: Creo que username se ha puesto a responder tweets sobre apellidos por el iPhone. cosasquenuncaentenderas :)"jaajjajajja	P
Amonestado el público argentino en La Cartuja!!!	N
... Y Rafa saluda a todo el equipo argentino. Qué talla de campeón!!	P
La quinta ensaladera. Nadal saludando al equipo argentino. Y ahora al público. Oe, oe, oe	P
Ya esta aquí. Ya llegó por fin la quinta ensaladera. Gracias a todos los miembros del equipo hoy mucha gente dormirá feliz.	P
que grande, ese abrazo de nadal con todo el equipo argentino IMPRESIONANTE. como sabe ganar este campeón!!!	P
Grandioso Rafa Nadal!!!!!	P
El público que cante gritando sin parar: "por eso yo te quiero dar Rafa mi corazón, yo te sigo a todas partes..." ¡Gracias por ser ESPAÑOL!	P
El camino no puede ser otro que más Europa enmiblog	NEU
El partido de Putin/Medveded (Rusia Unida) gana los comicios pero sufre una fuerte caía. Segundo partido más votado: Partido Comunista.	N
Madrid ciudad sin niños, aumenta el número de personas que viven solas.	N
Felicidades a username y a todo el equipo español de Copa Davis. Todo un ejemplo de esfuerzo, ilusión y superación. RbCb	P
donaundia Los 1000 primeros días cruciales para la vida del niño  url ENTRA y COLABORA ( RTs plis )	NEU
Estoy viendo los editoriales "username: username cuentalo ya q estamos en el descanso"	NEU
Fantásticas, a cual mejor "username. qué os parece mi foto de elprimernaufragio ? url  url	P
Fin a la impunidad en Internet  url	N
A mi me parece muy digno que la ministra italiana de Trabajo llore. No me lo parecían las risas de Berlusconi.	N
"Una entrevista es un punto intermedio entre una sesión de psicoanálisis y un concurso. A veces no tengo respuestas" Fellini	NEU
En el blog: Lágrimas tecnócratas  url	N
"Los ministros d username : fin de la ineptocracia" username username  url	N
Portada de Público de mañana: Urdangarin SA. Dentro, la lista de las 103 entidades que pagaron a Nóos  url	NEU
A por username !!;)) buenos días queridos twiteros!!;))	P
Gracias Venezuela!!!  url	P
Buenos días, Elisabeth. Estoy muy orgulloso de que EM haya localizado en un remoto lugar de Rumania al testigo que no acudió al juicio.	P
¿Cómo se explica que miles de españoles se ausenten en masa del trabajo durante el "puente", mientras en España hay 5 millones de parados?	N
Mas es presidente autonómico porque tenemos autogobierno gracias a la Constitución,pero ni la cumple ni la hace cumplir fueradelaley	N
Sobre "accidentes"... RT username Él había llegado antes  url	N
 url Una lectura de lo que ha ocurrido este fin d semana en Rusia con Putin y su partido en username	P
Dani García recoge en un libro 50 tapas para acercar la cocina a la sociedad  url	P
El voluntariado invisible  url DiaDelVoluntariado	N
El gobierno chino cree que el país "no está preparado" para protestas sociales -  url	N
En el Congreso. Entregando el Acta y haciendo todo el papeleo. Luego os cuento como queda la cosa!	P
Que vistas tiene mi amigo username  desde su casa en almeria! Y esta tarde y esta noche con el en discoteca caramelo	P
UpyD y Amaiur recurriran a la justicia si no logran grupo. La justicia ya dió todo el poder a la mesa del congreso en caso similar.	N
Hoy abordaremos en username username la gestión privada de los hospitales públicos. ¿qué ganamos los ciudadanos? ¿qué perdemos?	NEU
Sin Miedo by Rosana, from SoundHound  url	P
Y mientras tanto, el verdadero problema se agrava año tras año  url	N
El sector del lujo cierra el ejercicio con un 25% más de beneficios. ¿Quién sufre la crisis? Pues eso...	N
Que bonito despliegue de seguridad en alfonso XII. Contravigilancia en toda la manzana. Y no es nadie del Gobierno!!!!	N
Uno de los desafíos del periodismo. Encontrar su sitio para no perder la vigilancia del poder via username  url	N
El username no aceptará el caramelo de una presidencia de dos años en la FAMP si no hay refundación  url  username	N
Sí, raritos q somos...  "Si yo fuera España y se tratara de elegir entre 2 o 3 años de caos y 20 o 30 en la miseria..."  url	N
RT username username Que triste es esto, Pau!  url username &lt;3!  url	N
Joooooo :-) RT username Me dice username, que quiere rapear una estrofa del villancico. Lo siento Toni, aquí tenemos a username.	P
En estos días de traspaso de poderes os recomiendo seguir a 3 personas claves en el proceso username username y username entre otros	P
Entiendo que CNN conecte por Skype con disidentes en Siria pero que la mayoría de las conexiones ya sean por cámara de móvil ...	N
Detienen a dos sospechosos por secuestro cooperantes españoles en Tinduf. Intentaron venderlos a AQMI.  url V username	N
ICanAdmit , elcomecocos10 , Merkel y Sarkozy y cuatrotuiteros , los TT esta tarde en España	NEU
El username no descarta otra ronda de reuniones con ministerios para traspaso de poderes, después de recibir información pedida al gobierno	NEU
Toda suya "username: Sí Sr. La he grabado. Un saludo desde el otro lado, jeje, ( de España ). Buena tarde."	P
Y hable con el corazón de los afectos Y en esas cosas la Justicia habla idiomas diferentes. Insisto, disculpad, pero volvería a hacerlo.	P
Entiendo los unfollow. Aceptar el desconcierto. Y hasta reconocer errores. Pero creo fuera de lugar anunciar venganza radiofónica. Eso no	N
;-)))) RT username: FW para username y mucha suerte con tu primera entrevista aquí. El hastag es YNTERVIUMarivi	P
"España gasta mas en sanidad que todo el presupuesto en sanidad" Núñez Feijoo en username	N
A las 22.30 mi primera entrevista en directo en Twitter. Si Quieres seguirla busca el hastag YnterviuMarivi l  url	NEU
Feliz dia del voluntario... Los hËroes anónimos... Los del sacrificia por eleccion propia. Gracias por tanto.	P
Gracias RT username: YNTERVIUMARIVI Interesante la entrevista de username Nuevas herramientas: nuevas formas de comunicar	P
Gracias a ti Paco RT username: YNTERVIUMARIVI username Muchísimas gracias. Un beso. La cuelgo en un ratito en  url	P
Aunque en menor medida, también lo son muchas que no son madres ;) username: Supermujeres. Gran post de username  url	P
Una vez q ha hablado el protectorado franco-alemán la Europa a 2 o 3 velocidades está hecha: ahora falta ver dónde queda España	N
Impresionante! Enhorabuena a username y un beso a username : Percebeiros, de David Beriain, a por el Goya!  url	P
Sorgiñas, culebras. Cabrones negros de barba larga.	N
... enough today... la semana es larga, y seguramente más apasionante de lo recomendable.....	P
Me voy a leer un rato 'Un día más con vida' de Ryszard Kapuscinscki. Gran descubrimiento del reportero polaco. ;)  url	P
Disculpad la vehemencia. Pienso en ello para una peli.	N
Despegando ya...que lindo mi pais, que linda mi gente!! --Shak	P
SyntekNosa pax ahora actuando. Claaro que si.  url	P
Bono celebra su última fiesta en el Congreso y la pregunta es si habrá un Viva España! Con username y en RNE, para arrancar.	N
Triste RT username: RT username: "Papá, ¿nosotros qué somos: catalanes o fachas?" :: Barcelona :: Cataluña:  url	N
Extorsión mafiosa; por Carlos García - en   url vía username	NEU
No sé de que se sorprenden algunos. El PP presenta unos presupuestos tarde, sin negociar, cargándose la universidad, recortando derechos...	N
¿Se plantea Rajoy subir el IVA?  url	N
¡Constitución, Constitución!, ¡Cuántos viajes y comidas gratis se han dado en tu nombre!, feliz día.	N
Buenos días. El hashtag debería ser cincotuiteros, porque yo soy uno de ellos. cuatrotuiteros	NEU
BUENOS DÍAS PARTY TIME!!!	P
A los okupas no les gusta el edificio de Concepcion Jeronima xq esta en obras. Les gustan mas los edificios a estrenar, pero sin pagar...	N
Hoy en el Día de la Constitución me acuerdo como cada día de los millones de personas bajo en umbral de la pobreza vivalaconstitucion	N
Monti dice que no cobrará como primer ministro. Demagogia populista para hacer tragar el ricino de los recortes. La aristocracia financiera	N
El "vuelva usted mañana", pero por mail - ABC.es  url via username	NEU
Rubalcaba responde a Ridao en El País  url El artículo del que habla es éste  url   // vía username	NEU
Chacón confía en la democracia interna de los partidos.. Día de la Constitución. Congreso	P
.username congreso: Primera ley será desarrollo reforma constitución xra garantizar estabilidad presupuestaria. Lo dirá ZP n Bruselas	NEU
Diferentes ciudadanos leen artículos d la constitución en el acto de username en la Ciutadella  url	NEU
Empieza el acto de homenaje a la Constitución con el próximo Presidente del Gobierno. vivalaconstitucion   url	NEU
Bono a ZP: has dado lo mejor de ti a España en un momento muy difícil. A Rajoy le desea acierto en sus decisiones x el bien de todos.	P
Gallardon habla amigablemente con Zapatero, Guerra con Alonso, Pepiño recibe el cariño de periodistas amigos	P
¿Por qué será que hoy parecía haber más gente en la recepción oficial del aniversario de la Constitución?	NEU
Otro enchufado más antes de que se vaya ZP  url	N
Rajoy rompe su silencio en la fiesta del Congreso plagada de ausentes  url	NEU
Corrillo Rajoy: Los tengo [a los ministros] en la cabeza pero no he hablado de nada con nadie. ¿Sorpresas? Soy razonablemente previsible.	NEU
Las instituciones deberían hacer del día de la Constitución 1 fiesta cívica de todos,destacando valores democráticos y no 1 acto para políticos	NEU
En alguna CA como Cataluña ni siquiera hay acto institucional en un día como hoy.No interesa recordar LaConstitucionquenosUne	N
Conference Robert Steele en GlobalChase UNED. Estrategias de Inteligencia ante las amenazas económicas globales  url	NEU
Me agrada coincidir con mi amigo mechor en la denuncia de las tecnicas mafiosas en el Euskadi	N
Dios mío, es tan real que da miedo... ¡ánimo mamás trabajadora, nosotras podemos!!! Supermujeres  url	P
Menos palabras y mas hechos....Inauguración con tirón de orejas. SUR.es  url	N
........ ya ya......Griñán ve "imposible" ser imputado en el caso ERE  url	N
Gracias por seguirme username ;-))	P
Yo ya me he inscrito  'FotosyTuits06'!   url vía username	P
Una vez me dijo un amigo hace daño quien puede y no quien quiere...que razon tenia!!! Seguire aqui por esas 248.315 personas que me quereis!	P
Y ahí va el editorial. RT por favor. CÃ³mo pasar en el 11-M de impostor a testigo de cargo   url	N
Rajoy, 3-1 para el Madrid; Zapatero para «su» Barça y Rubalcaba evita «mojarse» - ABC.es  url via username	NEU
A ver... Se aclara lo de las entradas o qué???. Aquí los actores esperando. terratpack  url	N
El Museo de la Cueva de Nerja abre con una previsión de 100.000 visitas al año  url	P
El día en que Merkel dejó de ser socialista, por username   url	NEU
"username: 17 periodistas han sido asesinados durante el último año en Honduras:  url	N
Ahora si que me despido! a lavar los piños y "pa" la cama! Hola username un beso de buenas noches para ti, que veo que acabas de llegar	P
Tu q sabes seguro q me has entendido  username :)	P
Sintonía total entre Rajoy y Zapatero, con importantes matices de Rubalcaba. La recepción del día de la Constitución  url	P
Merkel y Sarkozy se rinden a los encantos del presidente Rajoy  url vía username	P
RT username: Sr. Mas, no garantizar una sanidad publica de calidad universal es anticonstitucional ,por eso no celebra dia  constitucion?	N
la noticia es la q he contado en el username Un alto cargo del PSOE declarara como testigo ante la juez del 11m antes de Navidad.	N
Buenos días. Sin Presidente del Gobierno pleno y sin verdadero líder d la oposición, los partidos se ponen d acuerdo. Luego es posible!	P
A los buenos días.	P
Nadie le cree, pero jura y perjura q sí, q deja la política y se va a Walt Disney. Los corrillos del Congreso con username	N
Europa se construye recortando Estado del Bienestar? Austeridad si, pero inteligente: Estado del Bienestar moderno e inversión cree empleo	NEU
No dejeis de ver el video que acabo de RT con la declaración de J-70. Fijaos en Bermudez en los minutos 17 y 21. Zougam merece otro juicio.	P
Bdías!! vaya tiempo que hace hoy: niebla, que parece que estamos en la boca del lobo, y frío, mucho frío. Apetece algo calentido pal cuerpo	P
Buenos días,os adjunto mi columna hoy en username sobre la necesidad d una reforma constitucional  url	P
De dónde saldrá el dinero para el banco malo de Rajoy, según el WSJ.   url	NEU
A vosotros RT username: Gracias Marivi RT username Me encanta ver por aqui a username ;-))	P
Sobre una amiga y compañera de partido...  url	P
Interesante análisis de username sobre los retos del socialismo.  url	P
La aventura de dibujar Málaga  url	P
igualmente!!!"username: Te responderé dentro de nueve meses, username. Un inmenso placer tenerte hoy en username."	P
En Periodistas 21: Hablar a la televisión  url	NEU
A las 3 en username, los pilotos de Iberia ponen en riesgo el viaje de Navidad de miles de personas: huelga los días 18 y 29 de diciembre	N
A las 3 en username os contaremos algunas de las noticias sobre las que más se ha tuiteado en 2011	NEU
Queremos potenciar y estimular a los mejores alumnos. Será impartido por profesores funcionarios.	P
Si eso, Bono podía haber convocado la última diputación permanente del congreso el lunes a las 11 de la noche... Sólo lo ha hecho a las 6,30	NEU
La novia de Cristiano Ronaldo, Irina de nombre, prefiere "jugar" sin camiseta, se vé que no aprecia tanto los colores.  url	P
Por qué no se exige a los bancos intervenidos con dinero público una linea d crédito para PYMES, autónomos y nuevas empresas que contraten?	NEU
Otra lectura navideña recomendada: El reto de Rajoy, de username y Rafa Bardají	P
¿Por qué el felipismo suspende su cena conciabulo? Se lo contamos en el username 20:30	N
Sinde echa mano de chequera para beneficiar a sus amigos. Se lo contamos en nuestro Top secret. username 20:30	N
Andalucía pretende 'robar' los colegios de los curas y monjas. Se lo contamos en el username 20:30	N
España pide eurobonos. Se lo contamos desde Marsella. username 20:30	NEU
De la Torre espera llegar a un acuerdo con el Puerto por el traslado de los cruceristas  url	P
El Ayuntamiento plantea un proyecto que mejora la accesibilidad del Teatro Romano  url	P
Yo nunca he dicho eso "username: username username Pero no habíamos quedado en que fue ETA?"	NEU
Hoy en el Gato: Juan Rosell. A favor del banco malo?  url	NEU
Mañana contamos en EL PAÍS la charla con la que Iñaki Urdangarín convenció a Jaume Matas para firmar el convenio de Nóos.	N
Empezamos en username con username username username username Eduardo Inda, Ricardo Martin y Luis Peiró VeoTV	NEU
Llaman a IU antisistema por denunciar la reforma que los mercados han hecho a la Constitución. ¿Y ellos que son? ¿Anticonstitucionales?	N
Jeje.. RT username username Lo siento pero esta mañana me he echado unas risas a tu costa ;)	P
Interesante: militantes username q votan delegados Congreso RT "username: Guadalajara, abriendo camino  url V username	P
RT username: username octava politica con + seguidores en twitter en España. username decimotercro.  url vía @ ...	P
RT:"username: "En los periódicos falta calor, sudor.. humanidad". Gran entrevista sobre periodismo  url vía username	P
Una lástima lo de hoy pero esto no termina acá. En el fútbol siempre hay revancha y tenemos equipo para pelear por grandes cosas	P
A vosotros siempre ;-)) RT username: username Gracias! :)	P
Mucho insomne por aquí... ¿Será por el presunto puente o por el 'recorte' de la familia real? :-)	NEU
Se han callado. Habrá pasado algo?	NEU
Gracias a los 40 principales Chile que se ha unido a  url podeis visitar la (cont)  url	P
Ahora dicen que regalan la CAM al Banco Sabadell a cargo del fondo de garantía. Se olvidan del FROB, financiado con fondos públicos.	N
Mis disculpas a username por confundirlo con Jesús Cacho.	N
El duque ofreció a Matas su amistad con Leblanc para llevar el Tour a Baleares y lograr el contrato del millón ...  url	NEU
Rajoy acaba de entrar en la asamblea del PP Europeo. Sonriente y a punto de comenzar maratón de reuniones	P
La heredera en la sombra del imperio Zara  url	NEU
+10 RT: "username: Los lectores de Chaves Nogales, de enhorabuena.  url	N
malagaconabraham   url	P
Rajoy ha estado hora y media reunido con Barroso analizando las diferentes posturas de cara a la Cumbre de la UE	P
username username username a ver si es verdad...	P
Excelente resumen de la presentación del último disco de Bebe, escrito  por Fermín Zabalegui username  url	P
De camino a tu nuevo restaurante username ! Tendremos sitio?	P
Y el menú increíble  url	P
España es el país con más sobrecualificación laboral de toda la Unión Europea  url	N
Cambio de conversación: de déficit a crecimiento."username:  url	N
username ya nos contarás si explota Europa (como dice Sarkozy)	N
Rajoy cumple lo que   le manda la troika : Más recortes sociales,  el banco malo pagado por los ciudadanos y devaluar empleo y  salarios	N
Los videos sobre la final de la Copa Davis subidos a Youtube alcanzan más de 580.000 visitas copadavis	P
La bolsa baja, la prima sube. ¿La razón? Que el BCE sigue negándose a actuar en el mercado de la deuda por el veto alemán.	N
Plan de cuidados paliativos para menores  url	N
RT username: Wayne Gonzales en el Centro de Arte Contemporáneo de Málaga username | Kedin.es  url vía username	NEU
El Gobierno en funciones indulta a dos empresarios condenados por defraudar 27 millones  url / vía username	N
Termina la cumbre de Marsella. Rajoy ofrece compromiso con el déficit y exige capacidad de decisión para España.	P
RT username: Cosmeticos de lujo y una suite en Moscu el despilfarro final de Sinde  url Ah bueeeno, es que la Suite ...	N
